Time[s];Supply_P[bar];Exhaust_P[bar];CV1_P[bar];R1_P[bar];R2_P[bar];Junction_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.2567;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2580;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2592;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2605;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2617;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2630;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2642;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2655;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2667;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2680;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2692;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2705;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
0.2717;6.0000;0.0000;0.0000;5.9999;0.0000;0.0000;0.0000;0.0000;0.0000
0.2730;6.0000;0.0000;0.0000;6.0001;0.0000;0.0000;0.0000;0.0000;0.0000
